train_loss,test_loss,train_l1_norm,test_l1_norm,train_linf_norm,test_linf_norm
213973848.4770647,74384739.9552,182018204.3170092,43677866.2752,94108575210.31137,24520271707.7504
243281073.2544,168522229.7984,143010512.2176,72084819.1616,84889189714.1248,55365027081.4208
109454288.2816,77539944.6656,81166596.5568,62052859.8592,47560902958.592,27161600407.552
58136879.408,21568991.8608,47912696.4192,14384959.5904,34740915771.5968,7662567792.7424
17947010.4448,9146977.3208,11053352.0192,6811579.0768,6037856254.4384,3992052071.424
26126798.088,4005721.7776,19550156.8032,3399897.8872,7713087012.736,1292732283.136
48005674.2208,22771349.488,39973338.3232,13220208.6224,19821517380.992,7689246183.6288
43626110.1568,36187653.488,29924131.4304,22754276.8208,14693459509.8112,11333357261.0048
81175734.7072,39353714.2144,53861137.3296,32243896.512,22657516601.1392,16018524009.2672
162852194.5344,139536911.9744,118155931.0336,127240449.728,63098354663.424,63763154242.7648
9751703493.0176,15257971551.4368,8301308495.2576,12168197890.048,4152986131234.816,5447725617460.02
35292529605.0176,7281088280.1664,29765574455.296,7091212750.0288,15305799595786.24,3251846510228.2754
7013960920.2688,3285306858.2912,4190106399.9488,2719041532.3136,2068204632912.6912,1379520520650.752
6461253828.1984,2163744358.8096,5861075290.9312,1658620264.0384,2765032780621.4146,725682007887.0529
2052775405.1584,1594206751.5392,1806226166.9888,1249547036.8768,1113020353989.837,574940991664.9471
1009186322.432,1978349472.768,729619611.2384,1805964265.472,351890373935.104,772845977849.0367
1917622800.5888,377218370.048,1181141867.1104,282565510.0672,578371424308.4288,116335247527.1168
963277696.0,312278297.8304,722614822.1952,259670344.96,321547902681.088,111555336775.2704
635205686.5792,295441754.0608,475027786.8032,249997258.9056,255378092084.4288,117453748885.9136
1117405616.128,271828994.7392,847255064.7808,213725576.2816,512748023803.0848,87643133889.7408
950263211.9296,75400508.0512,664221853.0816,56143252.512,325680876208.9472,26713253879.808
732177029.7856,258797449.1648,547721850.4704,125106912.7744,253343483863.04,72247417000.7552
341004926.6688,247374452.48,249341873.152,149642362.9952,127274584398.2336,75843064125.0304
300349374.976,96502396.4288,212359275.9296,107082497.216,101916627678.0032,57034395294.1056
345164041.9328,387011384.832,332300966.9632,314484990.1312,276690509624.1152,131422848216.2688
275170267.3408,481007171.7888,196848851.3536,394078829.952,83591345293.7216,176361161177.4976
236230908.9152,163076787.6864,169848069.4144,147839640.0256,87016006600.2944,64224267273.8304
179750390.6176,78136245.9648,126588937.2736,62151895.0464,74079977658.9312,26829884826.0096
135735035.6992,193627771.5456,101463486.3488,162425631.3472,66180514008.064,72689561651.6096
134928960.6144,89019999.04,106587610.2848,74081808.2688,63792490464.4608,34593169672.192
153668555.8464,81367637.1328,114611712.448,72216548.1216,52672584955.8016,32118642186.6496
170606712.9344,320946331.5968,131164953.7536,331471427.456,93629557180.8256,161826359633.5104
236511532.6464,30306259.2736,206445991.2448,40117427.1104,112952710906.6752,27048807061.504
296405840.9472,31895559.1648,230189789.376,21121371.1104,114793008784.5888,9479742303.4368
79751217.3056,68570878.944,63423071.1744,47101963.2672,32101294568.2432,26963962635.8784
58412077.5168,399420673.536,43987452.416,314305233.6384,24399802898.8416,141499946079.0272
188481403.1616,33953467.9488,133674762.4448,22355133.408,68016086188.032,11681507686.4
110745677.1904,27871905.6928,84279587.9296,23091747.432,43319068228.608,9759401785.344
43801415.5904,16819765.9536,32772293.792,10178553.752,18394891671.1424,5094954143.744
61409444.224,81474144.5376,46186502.5792,68800417.3952,25546587914.496,29439609928.9088
56622086.1184,15947604.0752,39694551.5008,16631929.0576,19019809386.496,8160269944.6272
43954964.5248,26685699.9008,34962814.8192,25717508.7216,19688685550.848,11445402123.264
51125005.1584,78725621.7088,40081813.6,67297581.3888,18541621409.3824,28966371002.368
50973769.1744,9999706.4832,41338409.9104,7980223.2928,22089331250.2784,3769452949.4016
42140354.8928,43748884.016,28789619.5968,25977625.9216,14167980088.7808,12627535589.376
53577290.7808,11580326.056,36663664.6016,8209796.5416,19931351482.3936,3997597981.4912
36803601.6128,23693383.3408,26860375.0144,24893917.8544,13540156622.0288,15053788392.2432
68860745.9072,34927613.8368,55523501.312,39300623.52,24154733687.6032,20069504998.6048
39573462.944,96311496.6912,34779190.4544,73257584.4864,20805840639.488,32780608940.8512
80999464.0064,21107534.5824,50617574.1792,13155232.536,25470306863.7184,6119798348.5952
35775058.0288,41003905.664,24010348.2528,36513929.5616,11253394577.664,15654003072.2048
53173919.0432,10528698.4256,39503568.5088,6243004.876,17956367061.0944,3070223540.6336
80584053.6832,50712663.456,58380288.512,29069248.4576,27135743259.4432,13348557221.0688
42152390.656,163286049.792,29112206.3424,141467906.112,14014228247.4496,65166842808.7296
64123114.8992,37120431.3408,55675687.0784,33961769.6128,29721227287.3984,15949564283.6992
29279899.4176,18557282.6016,23171033.0016,15866081.0688,12620134693.888,7585975446.9376
31879807.4688,12560762.3824,23307028.288,7656244.468,12137425550.5408,4193537752.0128
42413321.2416,94598320.9472,31865902.016,84861712.8128,17250124064.2048,38755771851.1616
94729190.6048,23583012.1984,59258372.9152,14662657.2808,30618439045.8368,8556475354.9312
57766859.7632,26991475.5072,35327498.648,24128913.2512,15986016923.8016,10283328992.6656
115441321.28,15881872.0752,77300259.7488,15514350.9856,39388391360.3456,8207699567.5136
82209726.72,19772952.9696,60567950.4288,17360926.1184,29161534187.6736,7341450532.2496
27560534.8896,40595451.9744,20364593.88,32577505.6544,10139910418.112,15004125153.9968
80390589.1328,126504581.376,58571010.6368,108933022.3744,28263461454.848,48128718070.5792
74359049.0752,52760992.9152,46196205.6192,46147605.6448,18211774103.552,21370857259.4176
51213779.0464,64117730.0864,41922367.7184,55281986.3712,22502768653.1072,24920994821.7344
81603735.2064,63906344.9024,63831970.4576,46790225.04,35703493006.9504,19971221205.4016
80641215.0656,29698404.736,68008798.2944,21055322.6688,38490104187.904,9458005870.7968
74237669.8304,10305402.4536,54848072.016,8629845.9648,28274424437.4016,5101745946.9312
50387809.056,5665417.1984,37051549.9048,6360322.2452,15592704296.0256,3186345345.1264
47733611.5264,20905436.4384,39307050.6624,16290197.0928,17192954096.1024,7812540011.9296
26313276.3072,10123509.7056,18453671.296,9498340.5896,9122090954.496,4207550646.3744
